ID	altura	diametro	inclinación	especie	origen	brotes
41761	11	50	0	Fresno	Exótico	2
41865	22	72	0	Jacarandá	Nativo/Autóctono	7
41892	10	20	5	Acacia	Exótico	2
42049	16	50	16	Eucalipto	Exótico	4
42639	11	62	10	Acacia	Exótico	3
42714	10	41	3	Palo borracho	Nativo/Autóctono	5
42717	10	40	0	Palo borracho	Nativo/Autóctono	7
42751	21	160	0	Eucalipto	Exótico	2
42939	19	139	0	Casuarina	Exótico	3
42976	11	18	10	Acacia	Nativo/Autóctono	6
44124	2	4	0	Fresno	Exótico	3
44152	10	21	0	Álamo	Exótico	3
44169	12	51	0	Álamo	Exótico	1
44619	18	26	16	Ceibo	Nativo/Autóctono	5
44873	10	65	10	Palo borracho	Nativo/Autóctono	5
45431	3	5	3	Ficus	Exótico	1
45749	23	32	3	Palo borracho	Nativo/Autóctono	5
45783	13	103	0	Palo borracho	Nativo/Autóctono	5
46263	14	48	0	Casuarina	Exótico	2
47254	25	102	0	Casuarina	Exótico	1
47290	15	55	0	Jacarandá	Nativo/Autóctono	4
47335	15	25	10	Jacarandá	Nativo/Autóctono	4
47614	4	6	0	Acacia	Exótico	4
47628	16	60	0	Casuarina	Exótico	3
48256	17	18	0	Fresno	Exótico	2
48257	18	61	0	Casuarina	Exótico	4
48276	6	25	0	Acacia	Exótico	3
48399	15	54	0	Casuarina	Exótico	2
48403	15	58	0	Álamo	Exótico	4
48516	8	12	14	Fresno	Exótico	4
48725	15	25	0	Álamo	Exótico	2
48823	19	60	0	Eucalipto	Exótico	2
48857	21	23	0	Álamo	Exótico	5
49024	7	34	3	Álamo	Exótico	2
49095	9	25	0	Álamo	Exótico	5
49227	19	70	0	Palo borracho	Nativo/Autóctono	5
49372	10	20	0	Fresno	Exótico	3
49384	6	40	0	Palo borracho	Nativo/Autóctono	7
49560	2	20	0	Ficus	Exótico	2
49602	18	35	0	Fresno	Exótico	4
49633	10	56	0	Fresno	Exótico	3
49789	25	70	8	Casuarina	Exótico	2
50053	12	100	2	Eucalipto	Exótico	2
50200	13	50	8	Jacarandá	Nativo/Autóctono	4
50238	17	22	0	Jacarandá	Nativo/Autóctono	6
50260	4	4	0	Álamo	Exótico	2
50668	16	20	0	Palo borracho	Nativo/Autóctono	5
50747	22	53	15	Álamo	Exótico	4
50751	24	72	7	Álamo	Exótico	3
50843	12	14	0	Casuarina	Exótico	2
50906	8	25	0	Casuarina	Exótico	1
51091	15	20	0	Álamo	Exótico	3
51160	9	24	0	Casuarina	Exótico	3
51182	13	25	15	Casuarina	Exótico	3
51211	12	17	0	Casuarina	Exótico	3
51258	22	49	0	Casuarina	Exótico	3
